ID,Name,Period,Start Year,End Year,Duration,Capital,Key Figures,Territory,Fall Trigger,Structural Contradiction,External Pressure,Conquest Victor,Conquest Loser,Decisive Battle,Winning Factor,Population (Million),Temp Anomaly,War Frequency
xia,夏 (Xia),BC 2070 - BC 1600,-2070,-1600,470,"阳城 (Yangcheng), 二里头 (Erlitou)","大禹 (Yu the Great), 启 (Qi), 桀 (Jie)",河南中西部、山西南部 (Henan/Shanxi),鸣条之战 (Battle of Mingtiao),方国联盟松散，神权与王权未完全整合 (Loose Alliance),商部落在东方的崛起与青铜技术优势 (Rise of Shang),商 (Shang),夏 (Xia),鸣条之战,商汤的'网开一面'政治联盟策略 vs 夏桀的孤立,2.5,-0.5,0.2
shang,商 (Shang),BC 1600 - BC 1046,-1600,-1046,554,"亳 (Bo), 殷 (Yin)","成汤 (Tang), 武丁 (Wu Ding), 纣王 (Zhou)",黄河中下游，势力达长江流域,牧野之战 (Battle of Muye),人祭导致的恐怖统治引发周边方国反感 (Terror Rule),周部落利用战车技术与羌人结盟 (Zhou-Qiang Alliance),周 (Zhou),商 (Shang),牧野之战,周武王的闪电战与商军奴隶倒戈,5.0,0.2,0.5
zhou_west,西周 (Western Zhou),BC 1046 - BC 771,-1046,-771,275,镐京 (Haojing),"周公旦 (Duke of Zhou), 周穆王 (King Mu), 周幽王 (King You)",分封制覆盖黄河及汉水流域,申侯联合犬戎攻破镐京 (Quanrong Invasion),血缘纽带随代际衰减，王室领地经济崩溃 (Feudal Decay),西北戎狄族群的军事压力 (Nomadic Pressure),犬戎/诸侯,西周,镐京之乱,王室丧失对周边诸侯的军事威慑力,10.0,-0.8,0.3
chunqiu_zhanguo,春秋战国 (Spring & Autumn / Warring States),BC 770 - BC 221,-770,-221,549,洛邑 (Luoyi) - Nominal,"齐桓公, 孔子, 商鞅, 秦始皇",诸侯割据，范围扩大至辽东、巴蜀、岭南,秦灭六国之战 (Qin's Wars of Unification),封建贵族制无法适应铁器时代的高强度战争 (System Failure),秦国全动员体制的降维打击 (Total War),秦 (Qin),六国 (Six States),长平之战(关键),秦国的耕战体系与军功爵制,30.0,0.0,2.5
qin,秦 (Qin),BC 221 - BC 207,-221,-207,14,咸阳 (Xianyang),"始皇帝 (First Emperor), 李斯, 胡亥",东至海，西至临洮，南至北向户，北据河为塞,大泽乡起义 (Dazexiang Uprising),过度动员导致民力枯竭，六国贵族复辟力量 (Over-mobilization),无（主要为内部崩溃）,汉 (Han),秦 (Qin),巨鹿之战/垓下之战,秦系统的刚性断裂与刘邦的统战策略,20.0,0.5,1.0
han_west,西汉 (Western Han),BC 202 - AD 8,-202,8,210,长安 (Chang'an),"汉武帝 (Wu), 霍去病, 王莽",西域都护府，朝鲜四郡，百越九郡,王莽篡汉 (Usurpation of Wang Mang),土地兼并与外戚干政 (Land Annexation),无,新 (Xin),西汉,和平演变,儒家谶纬学说为王莽提供了合法性,60.0,0.3,0.8
han_east,东汉 (Eastern Han),AD 25 - AD 220,25,220,195,洛阳 (Luoyang),"光武帝, 蔡伦, 曹操",恢复西汉疆域，但对西域控制减弱,黄巾起义 (Yellow Turban Rebellion),豪强地主经济瓦解中央集权，宦官外戚轮流执政,羌乱持续百年消耗帝国财政,魏/晋,东汉,赤壁之战(分裂),州牧割据导致中央政权名存实亡,50.0,-0.2,1.5
three_kingdoms,三国两晋南北朝 (Wei/Jin/Northern-Southern),AD 220 - AD 589,220,589,369,"洛阳, 建康, 大同","曹丕, 司马炎, 孝文帝, 王羲之",分裂时期，北方游牧民族入主中原,八王之乱与五胡乱华,门阀士族垄断政治资源，皇权衰落,气候变冷导致北方游牧民族大规模南迁 (Climate Cooling),隋 (Sui),陈/北周,隋灭陈之战,北方胡汉融合完成，南方士族腐朽,35.0,-1.0,3.0
sui,隋 (Sui),AD 581 - AD 618,581,618,37,"大兴 (Daxing), 洛阳","隋文帝, 隋炀帝",重新统一，大运河贯通南北,高句丽战争失败与瓦岗军起义,大工程与战争导致国力透支 (Over-extension),突厥始毕可汗对北方起义军的支持,唐 (Tang),隋,霍邑之战,李渊集团利用关陇贵族背景与农民军矛盾,46.0,-0.3,1.2
tang,唐 (Tang),AD 618 - AD 907,618,907,289,"长安, 洛阳","李世民, 武则天, 李隆基",极盛时辖境西至咸海，北逾贝加尔湖,黄巢起义与朱温篡位,均田制瓦解导致府兵制失效，藩镇割据,吐蕃与回纥对边疆的长期挤压,后梁 (Later Liang),唐,白马之祸,中央禁军被藩镇彻底取代,80.0,0.4,1.8
song,宋 (Song),AD 960 - AD 1279,960,1279,319,"开封 (Kaifeng), 临安 (Lin'an)","赵匡胤, 王安石, 岳飞",失去幽云十六州，南宋偏安江南,崖山海战 (Battle of Yamen),重文轻武导致军事积弱，冗官冗费财政危机,蒙古铁骑的降维打击 (Mongol Conquest),元 (Yuan),宋,襄阳之战,蒙古的回回炮技术与水军建设,110.0,-0.5,2.0
yuan,元 (Yuan),AD 1271 - AD 1368,1271,1368,97,大都 (Dadu),"忽必烈, 耶律楚材",中国历史上最大疆域，包括西伯利亚与西藏,红巾军起义与黄河大决口,四等人制导致民族矛盾激化，科举中断导致士大夫离心,无（主要为内部崩溃）,明 (Ming),元,徐达北伐,朱元璋'驱除胡虏'的民族主义动员,85.0,-0.2,1.5
ming,明 (Ming),AD 1368 - AD 1644,1368,1644,276,"南京, 北京","朱元璋, 郑和, 崇祯",继承元制，但失去了内亚控制权,李自成攻破北京与清军入关,白银流入骤减导致通货紧缩，驿站裁撤制造流民,小冰期 (Little Ice Age) 导致北方饥荒，满洲崛起,清 (Qing),明,山海关之战,吴三桂倒戈与满洲八旗的军事组织力,150.0,-1.5,1.6
qing,清 (Qing),AD 1644 - AD 1912,1644,1912,268,北京,"康熙, 乾隆, 慈禧",奠定现代中国版图，收复新疆、台湾,辛亥革命 (Xinhai Revolution),人口爆炸突破土地承载极限，满汉矛盾,工业文明的冲击 (Western Imperialism),民国 (Republic),清,武昌起义,新军失控与立宪派的背离,400.0,0.1,1.1
